modulation,snr_db_in,method,snr_db_out_mean,snr_db_out_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,runtime_sec_mean,n_trials
BPSK,-10,No Processing,-10.001,0.021,0.326836,0.0014879731180367452,326836,1000000,,0.0,10
BPSK,-5,No Processing,-5.001,0.016,0.2131,0.0020122822863604417,213100,1000000,,0.0,10
BPSK,0,No Processing,-0.006,0.015,0.07859999999999999,0.0008150214721097848,78600,1000000,,0.0,10
BPSK,5,No Processing,5.011,0.016,0.005856,0.00030489998360118034,5856,1000000,,0.0,10
BPSK,10,No Processing,9.993,0.014,6e-06,6.6332495807108005e-06,6,1000000,,0.0,10
BPSK,15,No Processing,15.003,0.005,0.0,0.0,0,1000000,3e-06,0.0,10
BPSK,20,No Processing,20.002,0.01,0.0,0.0,0,1000000,3e-06,0.0,10
BPSK,-10,LMS,0.283,0.034,0.348123,0.007289939711684864,348123,1000000,,0.498,10
BPSK,-5,LMS,1.086,0.037,0.22441300000000003,0.004288736527230372,224413,1000000,,0.4303,10
BPSK,0,LMS,2.895,0.031,0.084684,0.0019319689438497707,84684,1000000,,0.4606,10
BPSK,5,LMS,6.094,0.035,0.006666000000000001,0.0004562718487919235,6666,1000000,,0.4607,10
BPSK,10,LMS,10.29,0.029,8.8e-05,1.661324772583615e-05,88,1000000,,0.4448,10
BPSK,15,LMS,14.969,0.019,7.9e-05,1.3747727084867522e-05,79,1000000,,0.477,10
BPSK,20,LMS,19.706,0.023,7.7e-05,1.8466185312619388e-05,77,1000000,,0.4706,10
BPSK,-10,NLMS,0.267,0.03,0.35024,0.006864460648878403,350240,1000000,,0.6487,10
BPSK,-5,NLMS,1.069,0.034,0.225636,0.0044269519988362205,225636,1000000,,0.646,10
BPSK,0,NLMS,2.867,0.035,0.085885,0.002300470604028661,85885,1000000,,0.6412,10
BPSK,5,NLMS,6.064,0.046,0.00692,0.0004907341439109368,6920,1000000,,0.6905,10
BPSK,10,NLMS,10.262,0.028,7.1e-05,2.0712315177207982e-05,71,1000000,,0.6561,10
BPSK,15,NLMS,14.976,0.031,6.000000000000001e-05,1.897366596101028e-05,60,1000000,,0.7052,10
BPSK,20,NLMS,19.843,0.017,5.3e-05,1.4866068747318506e-05,53,1000000,,0.6707,10
BPSK,-10,CNN,0.712,0.013,0.330949,0.0015344800422292901,330949,1000000,,0.2732,10
BPSK,-5,CNN,2.155,0.03,0.215699,0.0019877950095520402,215699,1000000,,0.2221,10
BPSK,0,CNN,6.163,0.037,0.07974600000000001,0.0008867603960484473,79746,1000000,,0.2632,10
BPSK,5,CNN,16.263,0.112,0.006214,0.0003436335257218073,6214,1000000,,0.2784,10
BPSK,10,CNN,28.915,0.059,7.000000000000001e-06,7.810249675906655e-06,7,1000000,,0.2343,10
BPSK,15,CNN,30.572,0.022,0.0,0.0,0,1000000,3e-06,0.2629,10
BPSK,20,CNN,30.871,0.019,0.0,0.0,0,1000000,3e-06,0.2506,10
BPSK,-10,Hybrid,0.532,0.069,0.353611,0.00796306655755181,353611,1000000,,0.7007,10
BPSK,-5,Hybrid,2.008,0.078,0.22807399999999997,0.004904681844931432,228074,1000000,,0.7012,10
BPSK,0,Hybrid,5.947,0.088,0.08566900000000001,0.0017943380395009185,85669,1000000,,0.659,10
BPSK,5,Hybrid,16.011,0.256,0.0071660000000000005,0.0005633861908140808,7166,1000000,,0.7921,10
BPSK,10,Hybrid,29.544,0.112,0.000104,1.1999999999999995e-05,104,1000000,,0.6848,10
BPSK,15,Hybrid,31.331,0.081,8.700000000000001e-05,1.4177446878757826e-05,87,1000000,,0.7296,10
BPSK,20,Hybrid,31.82,0.078,7.7e-05,1.2688577540449522e-05,77,1000000,,0.7072,10
QPSK,-10,No Processing,-10.001,0.021,0.3763335,0.001043369661241884,752667,2000000,,0.0,10
QPSK,-5,No Processing,-5.001,0.016,0.28715900000000005,0.0010281726508714307,574318,2000000,,0.0,10
QPSK,0,No Processing,-0.006,0.015,0.158934,0.0006045940787007441,317868,2000000,,0.0,10
QPSK,5,No Processing,5.011,0.016,0.037375,0.00047539983172062715,74750,2000000,,0.0,10
QPSK,10,No Processing,9.993,0.014,0.0008460000000000001,7.013558298039591e-05,1692,2000000,,0.0,10
QPSK,15,No Processing,15.003,0.005,0.0,0.0,0,2000000,1.5e-06,0.0,10
QPSK,20,No Processing,20.002,0.01,0.0,0.0,0,2000000,1.5e-06,0.0,10
QPSK,-10,LMS,0.279,0.025,0.3909955,0.0026298141094001316,781991,2000000,,1.1005,10
QPSK,-5,LMS,1.069,0.028,0.297741,0.0024572401185069363,595482,2000000,,1.047,10
QPSK,0,LMS,2.888,0.026,0.1654725,0.0015265750063459087,330945,2000000,,1.0769,10
QPSK,5,LMS,6.104,0.033,0.03965149999999999,0.000824199763406906,79303,2000000,,0.9647,10
QPSK,10,LMS,10.29,0.027,0.001056,8.178630692236931e-05,2112,2000000,,0.9625,10
QPSK,15,LMS,14.974,0.02,7.7e-05,6.000000000000004e-06,154,2000000,,0.9665,10
QPSK,20,LMS,19.713,0.02,7.400000000000001e-05,1.240967364599086e-05,148,2000000,,0.9271,10
QPSK,-10,NLMS,0.268,0.032,0.3916765,0.0035022949975694597,783353,2000000,,1.2394,10
QPSK,-5,NLMS,1.048,0.038,0.298886,0.0032120272414784957,597772,2000000,,1.3525,10
QPSK,0,NLMS,2.859,0.033,0.166831,0.0018369918344946462,333662,2000000,,1.3797,10
QPSK,5,NLMS,6.074,0.038,0.040231499999999996,0.0009483144257048912,80463,2000000,,1.2109,10
QPSK,10,NLMS,10.269,0.036,0.0010665,8.222073947612001e-05,2133,2000000,,1.338,10
QPSK,15,NLMS,14.983,0.031,5.700000000000001e-05,1.4e-05,114,2000000,,1.2367,10
QPSK,20,NLMS,19.824,0.026,5.5e-05,1.0246950765959599e-05,110,2000000,,1.231,10
QPSK,-10,CNN,0.352,0.007,0.377863,0.000942895010062095,755726,2000000,,0.2759,10
QPSK,-5,CNN,1.107,0.01,0.28841500000000003,0.0008773112332576187,576830,2000000,,0.2654,10
QPSK,0,CNN,3.272,0.017,0.159862,0.0007558015612579808,319724,2000000,,0.2879,10
QPSK,5,CNN,9.178,0.042,0.0379445,0.00048053329749352385,75889,2000000,,0.2584,10
QPSK,10,CNN,20.822,0.082,0.0009285,6.637205737356646e-05,1857,2000000,,0.2642,10
QPSK,15,CNN,28.012,0.021,0.0,0.0,0,2000000,1.5e-06,0.2618,10
QPSK,20,CNN,28.605,0.017,0.0,0.0,0,2000000,1.5e-06,0.2632,10
QPSK,-10,Hybrid,0.268,0.023,0.393635,0.0024014308234883595,787270,2000000,,1.2958,10
QPSK,-5,Hybrid,1.039,0.036,0.30032049999999993,0.0026574409212624145,600641,2000000,,1.321,10
QPSK,0,Hybrid,3.196,0.044,0.166973,0.0018856248301292642,333946,2000000,,1.4322,10
QPSK,5,Hybrid,8.931,0.079,0.040326,0.0008247720897314613,80652,2000000,,1.2943,10
QPSK,10,Hybrid,20.292,0.132,0.0011895,7.70535528058246e-05,2379,2000000,,1.2996,10
QPSK,15,Hybrid,26.863,0.044,8.95e-05,1.809005251512555e-05,179,2000000,,1.1924,10
