modulation,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,runtime_sec_mean,n_trials
16QAM,0,No Processing,0.017,0.036,0.31287,0.0008874232361167782,156435,500000,,0.0,5
16QAM,10,No Processing,10.034,0.023,0.131672,0.0008767074768701367,65836,500000,,0.0,5
16QAM,20,No Processing,20.066,0.028,0.08124800000000001,0.0004996558815825148,40624,500000,,0.0,5
16QAM,25,No Processing,25.042,0.015,0.07691,0.0004326199255697766,38455,500000,,0.0,5
16QAM,30,No Processing,30.04,0.023,0.075514,0.0006288274803155485,37757,500000,,0.0,5
16QAM,0,LMS,1.622,0.064,0.356544,0.00223190143151528,178272,500000,,5.0651,5
16QAM,10,LMS,5.025,0.048,0.14541199999999999,0.0031326499964087896,72706,500000,,5.2518,5
16QAM,20,LMS,7.931,0.07,0.0005020000000000001,5.2687759489277945e-05,251,500000,,5.8222,5
16QAM,25,LMS,8.492,0.049,0.00016199999999999998,3.544009029333871e-05,81,500000,,6.1917,5
16QAM,30,LMS,8.705,0.022,0.000158,3.7629775444453565e-05,79,500000,,5.2312,5
16QAM,0,NLMS,1.611,0.066,0.35721400000000003,0.0023817355016877992,178607,500000,,4.8712,5
16QAM,10,NLMS,4.929,0.05,0.152272,0.0031378107017473187,76136,500000,,6.1141,5
16QAM,20,NLMS,7.62,0.081,0.001252,0.0001267122724916572,626,500000,,8.7023,5
16QAM,25,NLMS,8.323,0.061,0.00013199999999999998,1.939071942966531e-05,66,500000,,7.8877,5
16QAM,30,NLMS,8.622,0.029,0.00012599999999999997,1.85472369909914e-05,63,500000,,7.7089,5
16QAM,0,CNN,2.428,0.019,0.30884,0.001010959939859142,154420,500000,,0.9907,5
16QAM,10,CNN,6.758,0.012,0.07075000000000001,0.0009481771986290358,35375,500000,,1.046,5
16QAM,20,CNN,8.581,0.006,6.000000000000001e-05,8.944271909999155e-06,30,500000,,1.3561,5
16QAM,25,CNN,8.75,0.007,4.2000000000000004e-05,4e-06,21,500000,,0.8613,5
16QAM,30,CNN,8.799,0.004,4.2000000000000004e-05,7.483314773547884e-06,21,500000,,1.0412,5
16QAM,0,Hybrid,2.224,0.083,0.317282,0.0037716648843713627,158641,500000,,5.2889,5
16QAM,10,Hybrid,6.128,0.05,0.082816,0.001397978540607832,41408,500000,,6.0507,5
16QAM,20,Hybrid,8.561,0.065,0.000678,0.00010870142593360951,339,500000,,8.2041,5
16QAM,25,Hybrid,8.901,0.048,0.00016999999999999999,3.346640106136302e-05,85,500000,,6.1175,5
16QAM,30,Hybrid,8.994,0.02,0.00013,2.756809750418044e-05,65,500000,,5.5449,5
16QAM,0,MMSE (Genie),2.515,0.028,0.30184,0.0011988494484296219,150920,500000,,0.1697,5
16QAM,10,MMSE (Genie),6.901,0.012,0.065898,0.0008178117142716882,32949,500000,,0.1349,5
16QAM,20,MMSE (Genie),8.71,0.007,9.2e-05,2.0396078054371146e-05,46,500000,,0.2052,5
16QAM,25,MMSE (Genie),8.909,0.005,9.199999999999999e-05,1.7204650534085256e-05,46,500000,,0.2162,5
16QAM,30,MMSE (Genie),8.969,0.004,8.6e-05,2.0591260281974003e-05,43,500000,,0.2162,5
