modulation,snr_db_in,method,snr_db_out_mean,snr_db_out_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,n_trials,flip_harmful_total,flip_beneficial_total,flip_net
BPSK,-10,No Processing,-10.009,0.025,0.3258,0.0021907441658030394,40725,125000,,5,,,
BPSK,-5,No Processing,-4.996,0.018,0.21178400000000003,0.002714535687737412,26473,125000,,5,,,
BPSK,0,No Processing,-0.003,0.03,0.078168,0.0019928512237495292,9771,125000,,5,,,
BPSK,5,No Processing,5.013,0.015,0.005584,0.00021105449533236677,698,125000,,5,,,
BPSK,10,No Processing,9.993,0.024,8.000000000000001e-06,1.6000000000000003e-05,1,125000,,5,,,
BPSK,15,No Processing,15.026,0.028,0.0,0.0,0,125000,2.4e-05,5,,,
BPSK,20,No Processing,20.011,0.025,0.0,0.0,0,125000,2.4e-05,5,,,
BPSK,-10,CNN (MSE),0.697,0.014,0.32936,0.0019679024366060457,41170,125000,,5,3863.0,3418.0,-445.0
BPSK,-5,CNN (MSE),2.135,0.049,0.214976,0.0025250869291966985,26872,125000,,5,2326.0,1927.0,-399.0
BPSK,0,CNN (MSE),6.033,0.084,0.08093599999999998,0.002080707571957196,10117,125000,,5,1239.0,893.0,-346.0
BPSK,5,CNN (MSE),14.703,0.075,0.007271999999999999,0.00034072863102474965,909,125000,,5,317.0,106.0,-211.0
BPSK,10,CNN (MSE),22.75,0.048,0.0008320000000000001,2.993325909419153e-05,104,125000,,5,103.0,0.0,-103.0
BPSK,15,CNN (MSE),24.555,0.014,0.0008240000000000001,4.079215610874227e-05,103,125000,,5,103.0,0.0,-103.0
BPSK,20,CNN (MSE),24.988,0.03,0.0008240000000000001,4.079215610874227e-05,103,125000,,5,103.0,0.0,-103.0
BPSK,-10,CNN (Boundary-Hinge),0.695,0.011,0.33286399999999994,0.002477753821508509,41608,125000,,5,5268.0,4385.0,-883.0
BPSK,-5,CNN (Boundary-Hinge),2.067,0.04,0.21649599999999997,0.002956603456671182,27062,125000,,5,2739.0,2150.0,-589.0
BPSK,0,CNN (Boundary-Hinge),5.887,0.079,0.080928,0.002425121852608649,10116,125000,,5,1205.0,860.0,-345.0
BPSK,5,CNN (Boundary-Hinge),13.893,0.045,0.007032000000000001,0.00020143485299222667,879,125000,,5,304.0,123.0,-181.0
BPSK,10,CNN (Boundary-Hinge),21.301,0.058,0.0008320000000000001,2.993325909419153e-05,104,125000,,5,103.0,0.0,-103.0
BPSK,15,CNN (Boundary-Hinge),23.668,0.013,0.0008240000000000001,4.079215610874227e-05,103,125000,,5,103.0,0.0,-103.0
BPSK,20,CNN (Boundary-Hinge),24.343,0.015,0.0008240000000000001,4.079215610874227e-05,103,125000,,5,103.0,0.0,-103.0
QPSK,-10,No Processing,-10.009,0.025,0.37554,0.0018288794383446833,93885,250000,,5,,,
QPSK,-5,No Processing,-4.996,0.018,0.287916,0.0014520275479480496,71979,250000,,5,,,
QPSK,0,No Processing,-0.003,0.03,0.159704,0.0010943783623592006,39926,250000,,5,,,
QPSK,5,No Processing,5.013,0.015,0.037756,0.0006796940488190252,9439,250000,,5,,,
QPSK,10,No Processing,9.993,0.024,0.000748,0.00013658696863171098,187,250000,,5,,,
QPSK,15,No Processing,15.026,0.028,0.0,0.0,0,250000,1.2e-05,5,,,
QPSK,20,No Processing,20.011,0.025,0.0,0.0,0,250000,1.2e-05,5,,,
QPSK,-10,CNN (MSE),0.312,0.006,0.383828,0.0010636239937120734,95957,250000,,5,14683.0,12611.0,-2072.0
QPSK,-5,CNN (MSE),1.027,0.011,0.29127200000000003,0.0009223968777050353,72818,250000,,5,6338.0,5499.0,-839.0
QPSK,0,CNN (MSE),3.189,0.03,0.162276,0.0008778519237320055,40569,250000,,5,3286.0,2643.0,-643.0
QPSK,5,CNN (MSE),8.694,0.025,0.039912,0.0006946193202035204,9978,250000,,5,1561.0,1022.0,-539.0
QPSK,10,CNN (MSE),16.923,0.043,0.00184,0.00018110770276274834,460,250000,,5,310.0,37.0,-273.0
QPSK,15,CNN (MSE),21.279,0.023,0.000788,6.881860213634102e-05,197,250000,,5,197.0,0.0,-197.0
QPSK,20,CNN (MSE),22.214,0.014,0.000788,6.881860213634102e-05,197,250000,,5,197.0,0.0,-197.0
QPSK,-10,CNN (Boundary-Hinge),0.33,0.009,0.37732,0.0019150770219497732,94330,250000,,5,6037.0,5592.0,-445.0
QPSK,-5,CNN (Boundary-Hinge),1.048,0.011,0.28927200000000003,0.0014775980508920604,72318,250000,,5,3979.0,3640.0,-339.0
QPSK,0,CNN (Boundary-Hinge),3.157,0.027,0.161584,0.0008698873490285995,40396,250000,,5,2844.0,2374.0,-470.0
QPSK,5,CNN (Boundary-Hinge),8.115,0.011,0.03962,0.0003790514476954271,9905,250000,,5,1397.0,931.0,-466.0
QPSK,10,CNN (Boundary-Hinge),14.449,0.032,0.00176,0.00019308029417835476,440,250000,,5,282.0,29.0,-253.0
QPSK,15,CNN (Boundary-Hinge),18.041,0.036,0.000788,6.881860213634102e-05,197,250000,,5,197.0,0.0,-197.0
QPSK,20,CNN (Boundary-Hinge),19.227,0.032,0.000788,6.881860213634102e-05,197,250000,,5,197.0,0.0,-197.0
