modulation,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,runtime_sec_mean,n_trials
BPSK,-10,No Processing,-9.991,0.013,0.33446699999999996,0.0013476798581265551,334467,1000000,,0.0,10
BPSK,-5,No Processing,-4.982,0.015,0.22178299999999998,0.0006164097663080922,221783,1000000,,0.0,10
BPSK,0,No Processing,0.01,0.012,0.08821300000000001,0.0007599611832192463,88213,1000000,,0.0,10
BPSK,5,No Processing,5.011,0.013,0.008295,0.00028643498389687,8295,1000000,,0.0,10
BPSK,10,No Processing,10.008,0.012,1.6000000000000003e-05,1.3564659966250538e-05,16,1000000,,0.0,10
BPSK,15,No Processing,15.016,0.009,0.0,0.0,0,1000000,3e-06,0.0,10
BPSK,20,No Processing,20.019,0.013,0.0,0.0,0,1000000,3e-06,0.0,10
BPSK,-10,LMS,0.212,0.011,0.356726,0.005983454186337518,356726,1000000,,1.5909,10
BPSK,-5,LMS,0.682,0.03,0.25562699999999994,0.004474715745161924,255627,1000000,,1.6103,10
BPSK,0,LMS,1.681,0.052,0.121596,0.009168238871233669,121596,1000000,,1.6385,10
BPSK,5,LMS,3.25,0.061,0.023188999999999998,0.002073033767211716,23189,1000000,,1.6661,10
BPSK,10,LMS,5.041,0.071,0.000252,8.388086790204308e-05,252,1000000,,1.6906,10
BPSK,15,LMS,6.778,0.064,7.000000000000001e-06,4.58257569495584e-06,7,1000000,,1.5776,10
BPSK,20,LMS,7.892,0.057,7.000000000000001e-06,4.58257569495584e-06,7,1000000,,1.5691,10
BPSK,-10,NLMS,0.21,0.013,0.35923900000000003,0.006969687869625149,359239,1000000,,2.2095,10
BPSK,-5,NLMS,0.682,0.032,0.256347,0.005588783499116786,256347,1000000,,2.2185,10
BPSK,0,NLMS,1.68,0.052,0.12196499999999999,0.00938932825073232,121965,1000000,,2.2461,10
BPSK,5,NLMS,3.179,0.063,0.023957,0.0021766857834790952,23957,1000000,,2.3173,10
BPSK,10,NLMS,4.877,0.059,0.000304,0.00010938007131100254,304,1000000,,2.4031,10
BPSK,15,NLMS,6.426,0.066,8.000000000000001e-06,6.000000000000001e-06,8,1000000,,2.2225,10
BPSK,20,NLMS,7.571,0.052,5.000000000000001e-06,5e-06,5,1000000,,2.2341,10
BPSK,-10,CNN,0.65,0.005,0.331997,0.0009555108581277373,331997,1000000,,0.5216,10
BPSK,-5,CNN,1.779,0.007,0.21558000000000002,0.0008664409962599852,215580,1000000,,0.5722,10
BPSK,0,CNN,4.261,0.019,0.08162,0.0008472661919373401,81620,1000000,,0.5609,10
BPSK,5,CNN,7.403,0.009,0.006843,0.00023087009334255487,6843,1000000,,0.5735,10
BPSK,10,CNN,8.651,0.005,9e-06,1.2206555615733704e-05,9,1000000,,0.564,10
BPSK,15,CNN,8.906,0.003,0.0,0.0,0,1000000,3e-06,0.5533,10
BPSK,20,CNN,8.949,0.003,0.0,0.0,0,1000000,3e-06,0.5591,10
BPSK,-10,Hybrid,0.572,0.047,0.34486100000000003,0.00618558881594954,344861,1000000,,2.0189,10
BPSK,-5,Hybrid,1.74,0.096,0.226007,0.005467954004927255,226007,1000000,,2.146,10
BPSK,0,Hybrid,4.117,0.083,0.086625,0.0028178227410538105,86625,1000000,,2.2518,10
BPSK,5,Hybrid,7.231,0.052,0.007947,0.000603937910715994,7947,1000000,,2.2611,10
BPSK,10,Hybrid,8.548,0.027,3.800000000000001e-05,1.3266499161421601e-05,38,1000000,,2.174,10
BPSK,15,Hybrid,8.797,0.012,1.1000000000000001e-05,3e-06,11,1000000,,2.0503,10
BPSK,20,Hybrid,8.844,0.009,6.000000000000001e-06,6.6332495807108005e-06,6,1000000,,2.1458,10
BPSK,-10,MMSE (Genie),0.362,0.003,0.328064,0.001143260250336729,328064,1000000,,0.1401,10
BPSK,-5,MMSE (Genie),1.077,0.006,0.21218599999999999,0.0006904085746860287,212186,1000000,,0.1227,10
BPSK,0,MMSE (Genie),2.624,0.007,0.079955,0.0007450402673681455,79955,1000000,,0.1296,10
BPSK,5,MMSE (Genie),4.932,0.011,0.006597,0.0002367298037848212,6597,1000000,,0.1344,10
BPSK,10,MMSE (Genie),6.988,0.007,6.000000000000001e-06,8.000000000000001e-06,6,1000000,,0.1418,10
BPSK,15,MMSE (Genie),8.13,0.007,0.0,0.0,0,1000000,3e-06,0.1305,10
BPSK,20,MMSE (Genie),8.597,0.003,0.0,0.0,0,1000000,3e-06,0.1257,10
QPSK,-10,No Processing,-9.991,0.013,0.3807965,0.0011431995670048187,761593,2000000,,0.0,10
QPSK,-5,No Processing,-4.982,0.015,0.29688,0.0009324805628001075,593760,2000000,,0.0,10
QPSK,0,No Processing,0.01,0.012,0.177202,0.0012194429055925509,354404,2000000,,0.0,10
QPSK,5,No Processing,5.011,0.013,0.06335450000000001,0.0005891071634261459,126709,2000000,,0.0,10
QPSK,10,No Processing,10.008,0.012,0.009284,0.0002920256838019559,18568,2000000,,0.0,10
QPSK,15,No Processing,15.016,0.009,0.0002365,3.5288099977187775e-05,473,2000000,,0.0,10
QPSK,20,No Processing,20.019,0.013,0.0,0.0,0,2000000,1.5e-06,0.0,10
QPSK,-10,LMS,0.231,0.022,0.396188,0.002837170421388192,792376,2000000,,2.991,10
QPSK,-5,LMS,0.679,0.032,0.3196085,0.005232961900300822,639217,2000000,,2.9716,10
QPSK,0,LMS,1.666,0.029,0.1955445,0.003562225743829267,391089,2000000,,2.9652,10
QPSK,5,LMS,3.256,0.041,0.06292299999999999,0.0019045513907479646,125846,2000000,,2.9622,10
QPSK,10,LMS,5.017,0.107,0.0034014999999999996,0.00027706542548647234,6803,2000000,,2.988,10
QPSK,15,LMS,6.778,0.048,7.500000000000001e-06,3.354101966249685e-06,15,2000000,,2.9559,10
QPSK,20,LMS,7.901,0.064,4.5e-06,3.5000000000000004e-06,9,2000000,,2.9799,10
QPSK,-10,NLMS,0.228,0.024,0.39706,0.0034216048865992684,794120,2000000,,3.5566,10
QPSK,-5,NLMS,0.682,0.032,0.3202565,0.005130923917775431,640513,2000000,,3.5686,10
QPSK,0,NLMS,1.658,0.024,0.19671550000000002,0.003509728942525333,393431,2000000,,3.5786,10
QPSK,5,NLMS,3.2,0.056,0.0638035,0.002439180241392588,127607,2000000,,3.5574,10
QPSK,10,NLMS,4.907,0.102,0.0036325000000000003,0.0003219569070543448,7265,2000000,,3.5798,10
QPSK,15,NLMS,6.472,0.067,5.5e-06,4.1533119314590375e-06,11,2000000,,3.5481,10
QPSK,20,NLMS,7.611,0.08,2.5e-06,2.5e-06,5,2000000,,3.5597,10
QPSK,-10,CNN,0.341,0.003,0.38000449999999997,0.0009840260413220788,760009,2000000,,0.5234,10
QPSK,-5,CNN,0.97,0.004,0.29296199999999994,0.0005355287107149289,585924,2000000,,0.5149,10
QPSK,0,CNN,2.567,0.011,0.1655455,0.0008620569876754123,331091,2000000,,0.5384,10
QPSK,5,CNN,5.561,0.015,0.043467,0.0004119538809138717,86934,2000000,,0.5386,10
QPSK,10,CNN,8.108,0.008,0.001437,0.00012789057822998532,2874,2000000,,0.5399,10
QPSK,15,CNN,8.784,0.003,5.000000000000001e-07,1.5e-06,1,2000000,,0.5037,10
QPSK,20,CNN,8.935,0.002,0.0,0.0,0,2000000,1.5e-06,0.513,10
QPSK,-10,Hybrid,0.28,0.03,0.38965900000000003,0.0025028511741611837,779318,2000000,,3.471,10
QPSK,-5,Hybrid,0.957,0.076,0.299958,0.0035202891926658497,599916,2000000,,3.4785,10
QPSK,0,Hybrid,2.544,0.043,0.16955250000000002,0.0019461310978451567,339105,2000000,,3.5052,10
QPSK,5,Hybrid,5.36,0.061,0.0450155,0.000804249494870839,90031,2000000,,3.5573,10
