modulation,channel,isi_energy,snr_db_in,method,ber,errors,bits
BPSK,matched (train==test),0.27,0,No Processing,0.08676,13014,150000
BPSK,matched (train==test),0.27,10,No Processing,6.666666666666667e-06,1,150000
BPSK,matched (train==test),0.27,20,No Processing,0.0,0,150000
BPSK,matched (train==test),0.27,0,LMS,0.12097333333333334,18146,150000
BPSK,matched (train==test),0.27,10,LMS,0.00027333333333333333,41,150000
BPSK,matched (train==test),0.27,20,LMS,2.6666666666666667e-05,4,150000
BPSK,matched (train==test),0.27,0,NLMS,0.12163333333333333,18245,150000
BPSK,matched (train==test),0.27,10,NLMS,0.00036666666666666667,55,150000
BPSK,matched (train==test),0.27,20,NLMS,2e-05,3,150000
BPSK,matched (train==test),0.27,0,CNN,0.08164,12246,150000
BPSK,matched (train==test),0.27,10,CNN,0.0,0,150000
BPSK,matched (train==test),0.27,20,CNN,0.0,0,150000
BPSK,matched (train==test),0.27,0,MMSE (Genie),0.07868,11802,150000
BPSK,matched (train==test),0.27,10,MMSE (Genie),0.0,0,150000
BPSK,matched (train==test),0.27,20,MMSE (Genie),0.0,0,150000
BPSK,rotated phase (2-tap),0.2125,0,No Processing,0.10328,15492,150000
BPSK,rotated phase (2-tap),0.2125,10,No Processing,0.00012666666666666666,19,150000
BPSK,rotated phase (2-tap),0.2125,20,No Processing,0.0,0,150000
BPSK,rotated phase (2-tap),0.2125,0,LMS,0.10684666666666667,16027,150000
BPSK,rotated phase (2-tap),0.2125,10,LMS,9.333333333333333e-05,14,150000
BPSK,rotated phase (2-tap),0.2125,20,LMS,4.6666666666666665e-05,7,150000
BPSK,rotated phase (2-tap),0.2125,0,NLMS,0.10798666666666666,16198,150000
BPSK,rotated phase (2-tap),0.2125,10,NLMS,0.00014666666666666666,22,150000
BPSK,rotated phase (2-tap),0.2125,20,NLMS,6.666666666666667e-06,1,150000
BPSK,rotated phase (2-tap),0.2125,0,CNN,0.09106,13659,150000
BPSK,rotated phase (2-tap),0.2125,10,CNN,0.00014,21,150000
BPSK,rotated phase (2-tap),0.2125,20,CNN,0.0,0,150000
BPSK,rotated phase (2-tap),0.2125,0,MMSE (Genie),0.08157333333333333,12236,150000
BPSK,rotated phase (2-tap),0.2125,10,MMSE (Genie),0.00017333333333333334,26,150000
BPSK,rotated phase (2-tap),0.2125,20,MMSE (Genie),0.0,0,150000
BPSK,longer delay spread (4-tap),0.1797,0,No Processing,0.0797,11955,150000
BPSK,longer delay spread (4-tap),0.1797,10,No Processing,6.666666666666667e-06,1,150000
BPSK,longer delay spread (4-tap),0.1797,20,No Processing,0.0,0,150000
BPSK,longer delay spread (4-tap),0.1797,0,LMS,0.12010666666666667,18016,150000
BPSK,longer delay spread (4-tap),0.1797,10,LMS,0.00025333333333333333,38,150000
BPSK,longer delay spread (4-tap),0.1797,20,LMS,2.6666666666666667e-05,4,150000
BPSK,longer delay spread (4-tap),0.1797,0,NLMS,0.12048,18072,150000
BPSK,longer delay spread (4-tap),0.1797,10,NLMS,0.0003066666666666667,46,150000
BPSK,longer delay spread (4-tap),0.1797,20,NLMS,2e-05,3,150000
BPSK,longer delay spread (4-tap),0.1797,0,CNN,0.09416,14124,150000
BPSK,longer delay spread (4-tap),0.1797,10,CNN,6.666666666666667e-06,1,150000
BPSK,longer delay spread (4-tap),0.1797,20,CNN,0.0,0,150000
BPSK,longer delay spread (4-tap),0.1797,0,MMSE (Genie),0.07804,11706,150000
BPSK,longer delay spread (4-tap),0.1797,10,MMSE (Genie),0.0,0,150000
BPSK,longer delay spread (4-tap),0.1797,20,MMSE (Genie),0.0,0,150000
BPSK,sign-flipped taps (3-tap),0.27,0,No Processing,0.10662,15993,150000
BPSK,sign-flipped taps (3-tap),0.27,10,No Processing,8.666666666666667e-05,13,150000
BPSK,sign-flipped taps (3-tap),0.27,20,No Processing,0.0,0,150000
BPSK,sign-flipped taps (3-tap),0.27,0,LMS,0.11863333333333333,17795,150000
BPSK,sign-flipped taps (3-tap),0.27,10,LMS,0.00016,24,150000
BPSK,sign-flipped taps (3-tap),0.27,20,LMS,4.6666666666666665e-05,7,150000
BPSK,sign-flipped taps (3-tap),0.27,0,NLMS,0.11974,17961,150000
BPSK,sign-flipped taps (3-tap),0.27,10,NLMS,0.00040666666666666667,61,150000
BPSK,sign-flipped taps (3-tap),0.27,20,NLMS,6.666666666666667e-06,1,150000
BPSK,sign-flipped taps (3-tap),0.27,0,CNN,0.16950666666666667,25426,150000
BPSK,sign-flipped taps (3-tap),0.27,10,CNN,0.00358,537,150000
BPSK,sign-flipped taps (3-tap),0.27,20,CNN,0.0,0,150000
BPSK,sign-flipped taps (3-tap),0.27,0,MMSE (Genie),0.08283333333333333,12425,150000
BPSK,sign-flipped taps (3-tap),0.27,10,MMSE (Genie),0.00104,156,150000
BPSK,sign-flipped taps (3-tap),0.27,20,MMSE (Genie),0.0,0,150000
BPSK,"different phase, same taps count",0.2698,0,No Processing,0.08821333333333334,13232,150000
BPSK,"different phase, same taps count",0.2698,10,No Processing,3.3333333333333335e-05,5,150000
BPSK,"different phase, same taps count",0.2698,20,No Processing,0.0,0,150000
BPSK,"different phase, same taps count",0.2698,0,LMS,0.12032666666666667,18049,150000
BPSK,"different phase, same taps count",0.2698,10,LMS,0.00013333333333333334,20,150000
BPSK,"different phase, same taps count",0.2698,20,LMS,4e-05,6,150000
BPSK,"different phase, same taps count",0.2698,0,NLMS,0.12148666666666667,18223,150000
BPSK,"different phase, same taps count",0.2698,10,NLMS,0.0003,45,150000
BPSK,"different phase, same taps count",0.2698,20,NLMS,2e-05,3,150000
BPSK,"different phase, same taps count",0.2698,0,CNN,0.08412666666666667,12619,150000
BPSK,"different phase, same taps count",0.2698,10,CNN,0.0,0,150000
BPSK,"different phase, same taps count",0.2698,20,CNN,0.0,0,150000
BPSK,"different phase, same taps count",0.2698,0,MMSE (Genie),0.07782,11673,150000
BPSK,"different phase, same taps count",0.2698,10,MMSE (Genie),0.0,0,150000
BPSK,"different phase, same taps count",0.2698,20,MMSE (Genie),0.0,0,150000
BPSK,single dominant reflection (2-tap),0.2725,0,No Processing,0.08232,12348,150000
BPSK,single dominant reflection (2-tap),0.2725,10,No Processing,3.3333333333333335e-05,5,150000
BPSK,single dominant reflection (2-tap),0.2725,20,No Processing,0.0,0,150000
BPSK,single dominant reflection (2-tap),0.2725,0,LMS,0.12516666666666668,18775,150000
BPSK,single dominant reflection (2-tap),0.2725,10,LMS,0.0003,45,150000
BPSK,single dominant reflection (2-tap),0.2725,20,LMS,2.6666666666666667e-05,4,150000
