modulation,snr_db_in,trial,errors_mse,errors_hinge,n_bits
BPSK,-10,0,8237,8276,25000
BPSK,-5,0,5402,5450,25000
BPSK,0,0,2113,2124,25000
BPSK,5,0,169,169,25000
BPSK,10,0,21,21,25000
BPSK,15,0,21,21,25000
BPSK,20,0,21,21,25000
BPSK,-10,1,8239,8306,25000
BPSK,-5,1,5314,5335,25000
BPSK,0,1,2028,2053,25000
BPSK,5,1,168,179,25000
BPSK,10,1,19,20,25000
BPSK,15,1,19,19,25000
BPSK,20,1,19,19,25000
BPSK,-10,2,8228,8192,25000
BPSK,-5,2,5486,5432,25000
BPSK,0,2,1942,1968,25000
BPSK,5,2,179,169,25000
BPSK,10,2,21,21,25000
BPSK,15,2,21,21,25000
BPSK,20,2,21,21,25000
BPSK,-10,3,8138,8175,25000
BPSK,-5,3,5286,5326,25000
BPSK,0,3,1972,1942,25000
BPSK,5,3,165,174,25000
BPSK,10,3,22,22,25000
BPSK,15,3,22,22,25000
BPSK,20,3,22,22,25000
QPSK,-10,0,18941,18873,50000
QPSK,-5,0,14566,14473,50000
QPSK,0,0,8189,8161,50000
QPSK,5,0,2017,2046,50000
QPSK,10,0,102,112,50000
QPSK,15,0,44,44,50000
QPSK,20,0,44,44,50000
QPSK,-10,1,19106,19076,50000
QPSK,-5,1,14548,14504,50000
QPSK,0,1,8205,8215,50000
QPSK,5,1,1948,1953,50000
QPSK,10,1,76,78,50000
QPSK,15,1,35,35,50000
QPSK,20,1,35,35,50000
QPSK,-10,2,19056,18945,50000
QPSK,-5,2,14588,14538,50000
QPSK,0,2,8136,8107,50000
QPSK,5,2,1992,2014,50000
QPSK,10,2,96,99,50000
QPSK,15,2,42,42,50000
QPSK,20,2,42,42,50000
QPSK,-10,3,18922,18874,50000
QPSK,-5,3,14385,14432,50000
QPSK,0,3,8111,8059,50000
QPSK,5,3,2010,2016,50000
QPSK,10,3,91,96,50000
QPSK,15,3,40,40,50000
QPSK,20,3,40,40,50000
