modulation,snr_db_in,trial,errors_uniform,errors_triangular,n_bits
BPSK,10,0,21,21,25000
BPSK,15,0,21,21,25000
BPSK,20,0,21,21,25000
BPSK,10,1,20,20,25000
BPSK,15,1,19,19,25000
BPSK,20,1,19,19,25000
BPSK,10,2,21,21,25000
BPSK,15,2,21,21,25000
BPSK,20,2,21,21,25000
BPSK,10,3,22,22,25000
BPSK,15,3,22,22,25000
BPSK,20,3,22,22,25000
QPSK,10,0,31,31,25000
QPSK,15,0,0,0,25000
QPSK,20,0,0,0,25000
QPSK,10,1,20,20,25000
QPSK,15,1,0,0,25000
QPSK,20,1,0,0,25000
QPSK,10,2,23,25,25000
QPSK,15,2,0,0,25000
QPSK,20,2,0,0,25000
QPSK,10,3,24,24,25000
QPSK,15,3,0,0,25000
QPSK,20,3,0,0,25000
