modulation,snr_db_in,trial,method,ber,n_samples,corr_envelope_vs_stepsize,p_stepsize,corr_envelope_vs_updatenorm,p_updatenorm,median_update_norm,wrong_decision_update_norm_mean,right_decision_update_norm_mean,inflation_ratio_wrong_vs_median,wrong_rate_deep_fade,wrong_rate_strong_signal
BPSK,10,1,LMS,0.07510526315789473,19000,0.4659974813615694,0.0,0.3629006244224463,0.0,0.015351083340418778,0.00838607164255887,0.016715265464881106,0.5462853309172445,0.29978947368421055,0.0
BPSK,10,1,NLMS,0.24305263157894738,19000,-0.5837139103368697,0.0,-0.5073578058833268,0.0,0.023432757686881765,0.043564719368261375,0.03364433485465681,1.8591375351715422,0.41810526315789476,0.21305263157894735
BPSK,10,2,LMS,0.0002105263157894737,19000,0.07085461805337166,1.3955750419477776e-22,0.09622346160722779,2.525844928105551e-40,0.012869142172137998,0.0,0.013607601294732114,0.0,0.0008421052631578948,0.0
BPSK,10,2,NLMS,0.0006315789473684211,19000,-0.8045396945110539,0.0,-0.43693425105545775,0.0,0.016322779433307406,0.0,0.01834554932085159,0.0,0.0023157894736842107,0.0
BPSK,10,3,LMS,0.0005789473684210527,19000,0.1335773209649514,2.3043022196023116e-76,0.09695241977496263,6.497891923769677e-41,0.014549395653912923,0.0,0.015327697534895653,0.0,0.0023157894736842107,0.0
BPSK,10,3,NLMS,0.0015263157894736842,19000,-0.8117495008417029,0.0,-0.5229905363211036,0.0,0.027518086302723503,0.0,0.03242722855915997,0.0,0.005894736842105263,0.0
BPSK,10,4,LMS,0.025631578947368422,19000,0.4361903237843791,0.0,0.33704265488918445,0.0,0.015946491548157925,0.0038157953403863357,0.01698352505222469,0.23928745259499548,0.10210526315789474,0.0
BPSK,10,4,NLMS,0.1886842105263158,19000,-0.5937975716392128,0.0,-0.5103417007529822,0.0,0.022476421802339754,0.03553132613591871,0.0332567498352665,1.580826630163168,0.27052631578947367,0.26842105263157895
BPSK,15,0,LMS,0.2266842105263158,19000,0.35420518022158487,0.0,0.18174559945937743,8.596063717366348e-141,0.009493267905814616,0.009133950100683465,0.010280783772182299,0.9621502512416121,0.508,0.0
BPSK,15,1,LMS,0.07484210526315789,19000,0.4745165872742222,0.0,0.2380400666525664,5.569514701185657e-243,0.009816505700583619,0.007923225968732002,0.010596880165677168,0.8071330278207798,0.29936842105263156,0.0
BPSK,15,1,NLMS,0.24068421052631578,19000,-0.5541441993686851,0.0,-0.5480024918001185,0.0,0.015882039370894628,0.04363824766054402,0.029774265000254017,2.7476476188892547,0.3993684210526316,0.21094736842105263
BPSK,15,2,LMS,0.0,19000,0.019886656692991795,0.006120085695663632,0.05595011703940116,1.1842019033908788e-14,0.00795951177335636,,0.00850126874577293,,0.0,0.0
BPSK,15,2,NLMS,0.0,19000,-0.9298866498067114,0.0,-0.4987397710349688,0.0,0.010099291799314836,,0.011692258552673512,,0.0,0.0
BPSK,15,3,LMS,0.0,19000,0.026667728812162356,0.00023663690455027317,0.009055025256015564,0.2119971615476356,0.008782644851248831,,0.009321287086019502,,0.0,0.0
BPSK,15,3,NLMS,0.0,19000,-0.9099025821288076,0.0,-0.5947237482123794,0.0,0.017108628823758337,,0.0214529557933052,,0.0,0.0
BPSK,15,4,LMS,0.014947368421052631,19000,0.3839424102859084,0.0,0.1523438154763383,5.083878727273691e-99,0.010172079345850252,0.002125415518880268,0.01087576183891215,0.2089460224027196,0.059789473684210524,0.0
BPSK,15,4,NLMS,0.1853157894736842,19000,-0.6443256788620693,0.0,-0.62015193554626,0.0,0.015751364643668928,0.041775183978648475,0.028336954091745074,2.652162839455279,0.2633684210526316,0.2608421052631579
QPSK,10,1,LMS,0.0843421052631579,19000,0.4460165898980269,0.0,0.47362771894874456,0.0,0.013206583128263838,0.0050492725383872224,0.014958353852318832,0.38232997054182094,0.47978947368421054,0.0012631578947368421
QPSK,10,1,NLMS,0.24705263157894736,19000,-0.4656015201754955,0.0,-0.352778895508267,0.0,0.017986512085088946,0.026776450018856545,0.024384615680608786,1.4886960791611494,0.627578947368421,0.3141052631578947
QPSK,10,2,LMS,0.005026315789473684,19000,0.15230883549601093,5.64029373892523e-99,0.20093594679123006,2.7576806923095866e-172,0.01170755806515256,0.0016211511994931468,0.012022973529442793,0.1384704812456569,0.024,0.0014736842105263158
QPSK,10,2,NLMS,0.0071842105263157895,19000,-0.5046051473510336,0.0,-0.279426256901121,0.0,0.014523393266037092,0.0046101399787517655,0.015549879402440193,0.31742857156753873,0.037263157894736845,0.0010526315789473684
QPSK,10,4,LMS,0.19521052631578947,19000,0.4538437424788258,0.0,0.46203954735455066,0.0,0.013673923176101187,0.013463447130691445,0.014655728779454456,0.9846074866225953,0.4993684210526316,0.523578947368421
QPSK,10,4,NLMS,0.38313157894736843,19000,-0.48878800447679166,0.0,-0.357332017708699,0.0,0.018929060591747454,0.024335809500041307,0.0252332138694667,1.2856321834930913,0.6448421052631579,0.6774736842105263
