modulation,snr_db_in,trial,ber_lms_frozen,ber_nlms_frozen,ber_nlms_dd_original,ber_nlms_dd_floored,dd_engaged_orig,dd_engaged_floored
BPSK,-5,0,0.4007,0.4121,0.4121,0.4121,False,False
BPSK,0,0,0.31115,0.31575,0.31575,0.31575,False,False
BPSK,5,0,0.2748,0.27455,0.27455,0.27375,False,False
BPSK,10,0,0.2592,0.24945,0.24945,0.24985,False,False
BPSK,15,0,0.2425,0.2305,0.2305,0.10945,False,True
BPSK,-5,1,0.28225,0.2859,0.2859,0.2859,False,False
BPSK,0,1,0.17925,0.17875,0.17875,0.17875,False,False
BPSK,5,1,0.0923,0.0924,0.2481,0.2584,True,True
BPSK,10,1,0.06855,0.068,0.23125,0.23075,True,True
BPSK,15,1,0.0592,0.0589,0.22905,0.42875,True,True
BPSK,-5,2,0.27535,0.28295,0.28295,0.28295,False,False
BPSK,0,2,0.1343,0.13785,0.13785,0.13785,False,False
BPSK,5,2,0.039,0.0453,0.0453,0.04515,False,False
BPSK,10,2,0.00475,0.00725,0.00205,0.00205,True,True
BPSK,15,2,0.00055,0.00055,0.0003,0.0003,True,True
BPSK,-5,3,0.2789,0.29155,0.29155,0.29155,False,False
BPSK,0,3,0.1462,0.15015,0.15015,0.15015,False,False
BPSK,5,3,0.03245,0.03855,0.03855,0.03865,False,False
BPSK,10,3,0.0019,0.0027,0.0029,0.0028,True,True
BPSK,15,3,0.0003,0.0001,0.0001,0.0001,True,True
BPSK,-5,4,0.349,0.35365,0.35365,0.35365,False,False
BPSK,0,4,0.2719,0.27595,0.27595,0.27595,False,False
BPSK,5,4,0.195,0.201,0.38035,0.3779,True,True
BPSK,10,4,0.17095,0.1827,0.17985,0.03425,True,True
BPSK,15,4,0.15425,0.1665,0.1764,0.00955,True,True
QPSK,-5,0,0.409925,0.412475,0.412475,0.412475,False,False
QPSK,0,0,0.34685,0.354725,0.354725,0.354925,False,False
QPSK,5,0,0.30165,0.303225,0.303225,0.303825,False,False
QPSK,10,0,0.287975,0.285275,0.285275,0.2842,False,False
QPSK,15,0,0.287975,0.281525,0.281525,0.282425,False,False
QPSK,-5,1,0.34645,0.34765,0.34765,0.34765,False,False
QPSK,0,1,0.25705,0.258525,0.258525,0.258525,False,False
QPSK,5,1,0.17565,0.176375,0.176375,0.176375,False,False
QPSK,10,1,0.12725,0.128775,0.2356,0.236,True,True
QPSK,15,1,0.112575,0.113925,0.381625,0.0674,True,True
QPSK,-5,2,0.351375,0.351525,0.351525,0.351525,False,False
QPSK,0,2,0.24855,0.25435,0.25435,0.25435,False,False
QPSK,5,2,0.16175,0.173475,0.173475,0.173525,False,False
QPSK,10,2,0.108325,0.1223,0.01075,0.010775,True,True
QPSK,15,2,0.094525,0.113475,0.000675,0.000625,True,True
QPSK,-5,3,0.353225,0.355475,0.355475,0.355475,False,False
QPSK,0,3,0.2485,0.2528,0.2528,0.2528,False,False
QPSK,5,3,0.160075,0.17045,0.17045,0.170475,False,False
QPSK,10,3,0.09975,0.124875,0.124875,0.12395,False,False
QPSK,15,3,0.074625,0.09655,0.00095,0.000875,True,True
QPSK,-5,4,0.401175,0.401175,0.401175,0.401175,False,False
QPSK,0,4,0.3673,0.368575,0.368575,0.368575,False,False
QPSK,5,4,0.3191,0.3257,0.3257,0.325625,False,False
QPSK,10,4,0.309875,0.32115,0.3661,0.20765,True,True
QPSK,15,4,0.310075,0.32655,0.170125,0.165525,True,True
