modulation,snr_db_in,trial,floor_fraction,ber_frozen,ber_dd,dd_engaged
BPSK,10,0,0.1,0.24945,0.24955,False
BPSK,10,0,0.25,0.24945,0.24985,False
BPSK,10,0,0.5,0.24945,0.2519,False
BPSK,15,0,0.1,0.2305,0.23005,False
BPSK,15,0,0.25,0.2305,0.10945,True
BPSK,15,0,0.5,0.2305,0.10925,True
BPSK,10,1,0.1,0.068,0.23195,True
BPSK,10,1,0.25,0.068,0.23075,True
BPSK,10,1,0.5,0.068,0.2496,True
BPSK,15,1,0.1,0.0589,0.42625,True
BPSK,15,1,0.25,0.0589,0.42875,True
BPSK,15,1,0.5,0.0589,0.4153,True
BPSK,10,2,0.1,0.00725,0.00205,True
BPSK,10,2,0.25,0.00725,0.00205,True
BPSK,10,2,0.5,0.00725,0.002,True
BPSK,15,2,0.1,0.00055,0.0003,True
BPSK,15,2,0.25,0.00055,0.0003,True
BPSK,15,2,0.5,0.00055,0.00035,True
BPSK,10,3,0.1,0.0027,0.0029,True
BPSK,10,3,0.25,0.0027,0.0028,True
BPSK,10,3,0.5,0.0027,0.0025,True
BPSK,15,3,0.1,0.0001,0.0001,True
BPSK,15,3,0.25,0.0001,0.0001,True
BPSK,15,3,0.5,0.0001,0.0001,True
BPSK,10,4,0.1,0.1827,0.34125,True
BPSK,10,4,0.25,0.1827,0.03425,True
BPSK,10,4,0.5,0.1827,0.0257,True
BPSK,15,4,0.1,0.1665,0.01065,True
BPSK,15,4,0.25,0.1665,0.00955,True
BPSK,15,4,0.5,0.1665,0.00985,True
QPSK,10,0,0.1,0.285275,0.284775,False
QPSK,10,0,0.25,0.285275,0.2842,False
QPSK,10,0,0.5,0.285275,0.2847,False
QPSK,15,0,0.1,0.281525,0.2813,False
QPSK,15,0,0.25,0.281525,0.282425,False
QPSK,15,0,0.5,0.281525,0.284775,False
QPSK,10,1,0.1,0.128775,0.24425,True
QPSK,10,1,0.25,0.128775,0.236,True
QPSK,10,1,0.5,0.128775,0.083075,True
QPSK,15,1,0.1,0.113925,0.219225,True
QPSK,15,1,0.25,0.113925,0.0674,True
QPSK,15,1,0.5,0.113925,0.0679,True
QPSK,10,2,0.1,0.1223,0.01075,True
QPSK,10,2,0.25,0.1223,0.010775,True
QPSK,10,2,0.5,0.1223,0.0101,True
QPSK,15,2,0.1,0.113475,0.000675,True
QPSK,15,2,0.25,0.113475,0.000625,True
QPSK,15,2,0.5,0.113475,0.0007,True
QPSK,10,3,0.1,0.124875,0.124875,False
QPSK,10,3,0.25,0.124875,0.12395,False
QPSK,10,3,0.5,0.124875,0.114375,False
QPSK,15,3,0.1,0.09655,0.00095,True
QPSK,15,3,0.25,0.09655,0.000875,True
QPSK,15,3,0.5,0.09655,0.0006,True
QPSK,10,4,0.1,0.32115,0.3679,True
QPSK,10,4,0.25,0.32115,0.20765,True
QPSK,10,4,0.5,0.32115,0.195675,True
QPSK,15,4,0.1,0.32655,0.1692,True
QPSK,15,4,0.25,0.32655,0.165525,True
QPSK,15,4,0.5,0.32655,0.16245,True
