modulation,severity,snr_db_in,method,ber,errors,bits
BPSK,0.0,-10,No Processing,0.32841333333333333,49262,150000
BPSK,0.0,0,No Processing,0.07844666666666666,11767,150000
BPSK,0.0,10,No Processing,0.0,0,150000
BPSK,0.0,20,No Processing,0.0,0,150000
BPSK,0.0,-10,LMS,0.35672,53508,150000
BPSK,0.0,0,LMS,0.11094,16641,150000
BPSK,0.0,10,LMS,8e-05,12,150000
BPSK,0.0,20,LMS,3.3333333333333335e-05,5,150000
BPSK,0.0,-10,NLMS,0.35796,53694,150000
BPSK,0.0,0,NLMS,0.11196666666666667,16795,150000
BPSK,0.0,10,NLMS,0.00013333333333333334,20,150000
BPSK,0.0,20,NLMS,2e-05,3,150000
BPSK,0.0,-10,CNN,0.33748,50622,150000
BPSK,0.0,0,CNN,0.08450666666666666,12676,150000
BPSK,0.0,10,CNN,2e-05,3,150000
BPSK,0.0,20,CNN,0.0,0,150000
BPSK,0.0,-10,MMSE (Genie),0.32837333333333335,49256,150000
BPSK,0.0,0,MMSE (Genie),0.07844666666666666,11767,150000
BPSK,0.0,10,MMSE (Genie),0.0,0,150000
BPSK,0.0,20,MMSE (Genie),0.0,0,150000
BPSK,0.25,-10,No Processing,0.32904,49356,150000
BPSK,0.25,0,No Processing,0.07926,11889,150000
BPSK,0.25,10,No Processing,6.666666666666667e-06,1,150000
BPSK,0.25,20,No Processing,0.0,0,150000
BPSK,0.25,-10,LMS,0.3586533333333333,53798,150000
BPSK,0.25,0,LMS,0.11281333333333333,16922,150000
BPSK,0.25,10,LMS,9.333333333333333e-05,14,150000
BPSK,0.25,20,LMS,3.3333333333333335e-05,5,150000
BPSK,0.25,-10,NLMS,0.35901333333333335,53852,150000
BPSK,0.25,0,NLMS,0.11375333333333333,17063,150000
BPSK,0.25,10,NLMS,0.00016666666666666666,25,150000
BPSK,0.25,20,NLMS,2e-05,3,150000
BPSK,0.25,-10,CNN,0.33419333333333334,50129,150000
BPSK,0.25,0,CNN,0.08363333333333334,12545,150000
BPSK,0.25,10,CNN,6.666666666666667e-06,1,150000
BPSK,0.25,20,CNN,0.0,0,150000
