modulation,channel_mode,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,n_trials,dd_engaged_fraction
BPSK,sinusoidal,-5,No Processing,-4.961,0.041,0.222944,27868,125000,,5,
BPSK,sinusoidal,0,No Processing,0.008,0.036,0.092088,11511,125000,,5,
BPSK,sinusoidal,5,No Processing,5.054,0.036,0.010112,1264,125000,,5,
BPSK,sinusoidal,10,No Processing,10.03,0.022,3.2e-05,4,125000,,5,
BPSK,sinusoidal,15,No Processing,15.048,0.02,0.0,0,125000,2.4e-05,5,
BPSK,sinusoidal,-5,LMS-Frozen,0.688,0.046,0.258712,32339,125000,,5,
BPSK,sinusoidal,0,LMS-Frozen,1.612,0.128,0.126312,15789,125000,,5,
BPSK,sinusoidal,5,LMS-Frozen,3.12,0.359,0.025384,3173,125000,,5,
BPSK,sinusoidal,10,LMS-Frozen,4.768,0.67,0.000488,61,125000,,5,
BPSK,sinusoidal,15,LMS-Frozen,6.385,1.14,2.4e-05,3,125000,,5,
BPSK,sinusoidal,-5,LMS-DD,-0.59,0.052,0.485728,60716,125000,,5,1.0
BPSK,sinusoidal,0,LMS-DD,-0.911,0.102,0.48108,60135,125000,,5,1.0
BPSK,sinusoidal,5,LMS-DD,-1.047,0.026,0.478816,59852,125000,,5,1.0
BPSK,sinusoidal,10,LMS-DD,-1.128,0.066,0.478792,59849,125000,,5,1.0
BPSK,sinusoidal,15,LMS-DD,-1.177,0.06,0.4782,59775,125000,,5,1.0
BPSK,sinusoidal,-5,NLMS-Frozen,0.687,0.044,0.258824,32353,125000,,5,
BPSK,sinusoidal,0,NLMS-Frozen,1.606,0.13,0.127584,15948,125000,,5,
BPSK,sinusoidal,5,NLMS-Frozen,3.072,0.352,0.026272,3284,125000,,5,
BPSK,sinusoidal,10,NLMS-Frozen,4.628,0.583,0.000672,84,125000,,5,
BPSK,sinusoidal,15,NLMS-Frozen,6.097,0.986,3.2e-05,4,125000,,5,
BPSK,sinusoidal,-5,NLMS-DD,-0.585,0.045,0.489392,61174,125000,,5,1.0
BPSK,sinusoidal,0,NLMS-DD,-0.943,0.044,0.485064,60633,125000,,5,1.0
BPSK,sinusoidal,5,NLMS-DD,-1.163,0.078,0.486536,60817,125000,,5,1.0
BPSK,sinusoidal,10,NLMS-DD,-1.187,0.045,0.479744,59968,125000,,5,1.0
BPSK,sinusoidal,15,NLMS-DD,-1.218,0.071,0.478368,59796,125000,,5,1.0
BPSK,random_walk,-5,No Processing,-4.925,0.055,0.245272,30659,125000,,5,
BPSK,random_walk,0,No Processing,0.044,0.059,0.125448,15681,125000,,5,
BPSK,random_walk,5,No Processing,5.09,0.049,0.037352,4669,125000,,5,
BPSK,random_walk,10,No Processing,10.067,0.021,0.011616,1452,125000,,5,
BPSK,random_walk,15,No Processing,15.085,0.035,0.007104,888,125000,,5,
BPSK,random_walk,-5,LMS-Frozen,0.589,0.146,0.279832,34979,125000,,5,
BPSK,random_walk,0,LMS-Frozen,1.364,0.319,0.154896,19362,125000,,5,
BPSK,random_walk,5,LMS-Frozen,2.639,0.537,0.051448,6431,125000,,5,
