modulation,snr_db_in,method,ber_mean,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,n_trials,dd_engaged_fraction
BPSK,-5,No Processing,0.28174,28174,100000,,5,
BPSK,0,No Processing,0.17831,17831,100000,,5,
BPSK,5,No Processing,0.10368,10368,100000,,5,
BPSK,10,No Processing,0.08042,8042,100000,,5,
BPSK,15,No Processing,0.07362,7362,100000,,5,
BPSK,-5,LMS-Frozen,0.31724,31724,100000,,5,
BPSK,0,LMS-Frozen,0.20856,20856,100000,,5,
BPSK,5,LMS-Frozen,0.12671,12671,100000,,5,
BPSK,10,LMS-Frozen,0.10107,10107,100000,,5,
BPSK,15,LMS-Frozen,0.09136,9136,100000,,5,
BPSK,-5,LMS-DD,0.31724,31724,100000,,5,0.0
BPSK,0,LMS-DD,0.20856,20856,100000,,5,0.0
BPSK,5,LMS-DD,0.15649,15649,100000,,5,0.6
BPSK,10,LMS-DD,0.0718,7180,100000,,5,0.8
BPSK,15,LMS-DD,0.06106,6106,100000,,5,1.0
BPSK,-5,NLMS-Frozen,0.32523,32523,100000,,5,
BPSK,0,NLMS-Frozen,0.21169,21169,100000,,5,
BPSK,5,NLMS-Frozen,0.13036,13036,100000,,5,
BPSK,10,NLMS-Frozen,0.10202,10202,100000,,5,
BPSK,15,NLMS-Frozen,0.09131,9131,100000,,5,
BPSK,-5,NLMS-DD,0.32523,32523,100000,,5,0.0
BPSK,0,NLMS-DD,0.21169,21169,100000,,5,0.0
BPSK,5,NLMS-DD,0.19737,19737,100000,,5,0.4
BPSK,10,NLMS-DD,0.1331,13310,100000,,5,0.8
BPSK,15,NLMS-DD,0.12727,12727,100000,,5,0.8
QPSK,-5,No Processing,0.34213,68426,200000,,5,
QPSK,0,No Processing,0.261785,52357,200000,,5,
QPSK,5,No Processing,0.18917,37834,200000,,5,
QPSK,10,No Processing,0.151435,30287,200000,,5,
QPSK,15,No Processing,0.13901,27802,200000,,5,
QPSK,-5,LMS-Frozen,0.37243,74486,200000,,5,
QPSK,0,LMS-Frozen,0.29365,58730,200000,,5,
QPSK,5,LMS-Frozen,0.223645,44729,200000,,5,
QPSK,10,LMS-Frozen,0.186635,37327,200000,,5,
QPSK,15,LMS-Frozen,0.175955,35191,200000,,5,
QPSK,-5,LMS-DD,0.37243,74486,200000,,5,0.0
QPSK,0,LMS-DD,0.29365,58730,200000,,5,0.0
QPSK,5,LMS-DD,0.27789,55578,200000,,5,0.2
QPSK,10,LMS-DD,0.132805,26561,200000,,5,0.6
QPSK,15,LMS-DD,0.105885,21177,200000,,5,0.8
QPSK,-5,NLMS-Frozen,0.37366,74732,200000,,5,
QPSK,0,NLMS-Frozen,0.297795,59559,200000,,5,
QPSK,5,NLMS-Frozen,0.229845,45969,200000,,5,
QPSK,10,NLMS-Frozen,0.196475,39295,200000,,5,
QPSK,15,NLMS-Frozen,0.186405,37281,200000,,5,
QPSK,-5,NLMS-DD,0.37366,74732,200000,,5,0.0
QPSK,0,NLMS-DD,0.297795,59559,200000,,5,0.0
QPSK,5,NLMS-DD,0.229845,45969,200000,,5,0.0
QPSK,10,NLMS-DD,0.20452,40904,200000,,5,0.6
QPSK,15,NLMS-DD,0.16698,33396,200000,,5,0.8
