modulation,trial,snr_db_in,method,ber,errors,bits
BPSK,0,-5,No Processing,0.3487,6974,20000
BPSK,0,-5,LMS-Frozen,0.4007,8014,20000
BPSK,0,-5,LMS-DD,0.4007,8014,20000
BPSK,0,-5,NLMS-Frozen,0.4121,8242,20000
BPSK,0,-5,NLMS-DD,0.4121,8242,20000
BPSK,0,0,No Processing,0.29295,5859,20000
BPSK,0,0,LMS-Frozen,0.31115,6223,20000
BPSK,0,0,LMS-DD,0.31115,6223,20000
BPSK,0,0,NLMS-Frozen,0.31575,6315,20000
BPSK,0,0,NLMS-DD,0.31575,6315,20000
BPSK,0,5,No Processing,0.2631,5262,20000
BPSK,0,5,LMS-Frozen,0.2748,5496,20000
BPSK,0,5,LMS-DD,0.2748,5496,20000
BPSK,0,5,NLMS-Frozen,0.27455,5491,20000
BPSK,0,5,NLMS-DD,0.27455,5491,20000
BPSK,0,10,No Processing,0.2463,4926,20000
BPSK,0,10,LMS-Frozen,0.2592,5184,20000
BPSK,0,10,LMS-DD,0.2592,5184,20000
BPSK,0,10,NLMS-Frozen,0.24945,4989,20000
BPSK,0,10,NLMS-DD,0.24945,4989,20000
BPSK,0,15,No Processing,0.2324,4648,20000
BPSK,0,15,LMS-Frozen,0.2425,4850,20000
BPSK,0,15,LMS-DD,0.21815,4363,20000
BPSK,0,15,NLMS-Frozen,0.2305,4610,20000
BPSK,0,15,NLMS-DD,0.2305,4610,20000
BPSK,1,-5,No Processing,0.2709,5418,20000
BPSK,1,-5,LMS-Frozen,0.28225,5645,20000
BPSK,1,-5,LMS-DD,0.28225,5645,20000
BPSK,1,-5,NLMS-Frozen,0.2859,5718,20000
BPSK,1,-5,NLMS-DD,0.2859,5718,20000
BPSK,1,0,No Processing,0.16875,3375,20000
BPSK,1,0,LMS-Frozen,0.17925,3585,20000
BPSK,1,0,LMS-DD,0.17925,3585,20000
BPSK,1,0,NLMS-Frozen,0.17875,3575,20000
BPSK,1,0,NLMS-DD,0.17875,3575,20000
BPSK,1,5,No Processing,0.0901,1802,20000
BPSK,1,5,LMS-Frozen,0.0923,1846,20000
BPSK,1,5,LMS-DD,0.2515,5030,20000
BPSK,1,5,NLMS-Frozen,0.0924,1848,20000
BPSK,1,5,NLMS-DD,0.2481,4962,20000
BPSK,1,10,No Processing,0.06995,1399,20000
BPSK,1,10,LMS-Frozen,0.06855,1371,20000
BPSK,1,10,LMS-DD,0.0718,1436,20000
