modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
BPSK,sinusoidal,0,-5,No Processing,-4.964390243058827,0.22488,5622,25000
BPSK,sinusoidal,0,-5,LMS-Frozen,0.6107529482957315,0.26864,6716,25000
BPSK,sinusoidal,0,-5,LMS-DD,-0.5427278367361891,0.47984,11996,25000
BPSK,sinusoidal,0,-5,NLMS-Frozen,0.6165434611513969,0.26596,6649,25000
BPSK,sinusoidal,0,-5,NLMS-DD,-0.5177711647613741,0.48016,12004,25000
BPSK,sinusoidal,0,0,No Processing,-0.014379938286423817,0.09416,2354,25000
BPSK,sinusoidal,0,0,LMS-Frozen,1.563565105603892,0.12968,3242,25000
BPSK,sinusoidal,0,0,LMS-DD,-0.7874778388856989,0.47008,11752,25000
BPSK,sinusoidal,0,0,NLMS-Frozen,1.5304393176459272,0.13148,3287,25000
BPSK,sinusoidal,0,0,NLMS-DD,-0.9674703312790316,0.4904,12260,25000
BPSK,sinusoidal,0,5,No Processing,5.041154079784161,0.01176,294,25000
BPSK,sinusoidal,0,5,LMS-Frozen,3.485839433305427,0.02824,706,25000
BPSK,sinusoidal,0,5,LMS-DD,-1.034110687188995,0.47912,11978,25000
BPSK,sinusoidal,0,5,NLMS-Frozen,3.4241476737905856,0.02988,747,25000
BPSK,sinusoidal,0,5,NLMS-DD,-1.093675853070755,0.4828,12070,25000
BPSK,sinusoidal,0,10,No Processing,10.046000449315393,4e-05,1,25000
BPSK,sinusoidal,0,10,LMS-Frozen,5.742658956662164,0.00116,29,25000
BPSK,sinusoidal,0,10,LMS-DD,-1.0594592395371087,0.47536,11884,25000
BPSK,sinusoidal,0,10,NLMS-Frozen,5.462188534052687,0.00172,43,25000
BPSK,sinusoidal,0,10,NLMS-DD,-1.1644012885305626,0.47952,11988,25000
BPSK,sinusoidal,0,15,No Processing,15.076810184234722,0.0,0,25000
BPSK,sinusoidal,0,15,LMS-Frozen,8.060698773182288,0.0,0,25000
BPSK,sinusoidal,0,15,LMS-DD,-1.1337685974102227,0.47644,11911,25000
BPSK,sinusoidal,0,15,NLMS-Frozen,7.550033830712605,4e-05,1,25000
BPSK,sinusoidal,0,15,NLMS-DD,-1.2006270093372693,0.47936,11984,25000
BPSK,sinusoidal,1,-5,No Processing,-5.028753745705706,0.22164,5541,25000
BPSK,sinusoidal,1,-5,LMS-Frozen,0.6808432807070547,0.25944,6486,25000
BPSK,sinusoidal,1,-5,LMS-DD,-0.5792390499980846,0.48392,12098,25000
BPSK,sinusoidal,1,-5,NLMS-Frozen,0.6755842559408283,0.2628,6570,25000
BPSK,sinusoidal,1,-5,NLMS-DD,-0.5697472285205902,0.49584,12396,25000
