modulation,snr_db_in,training_draw,test_trial,errors,n_bits,ber
BPSK,0,0,0,1295,15000,0.08633333333333333
BPSK,0,0,1,1252,15000,0.08346666666666666
BPSK,0,0,2,1179,15000,0.0786
BPSK,0,0,3,1195,15000,0.07966666666666666
BPSK,15,0,0,12,15000,0.0008
BPSK,15,0,1,11,15000,0.0007333333333333333
BPSK,15,0,2,13,15000,0.0008666666666666666
BPSK,15,0,3,13,15000,0.0008666666666666666
BPSK,0,1,0,1282,15000,0.08546666666666666
BPSK,0,1,1,1259,15000,0.08393333333333333
BPSK,0,1,2,1182,15000,0.0788
BPSK,0,1,3,1224,15000,0.0816
BPSK,15,1,0,12,15000,0.0008
BPSK,15,1,1,11,15000,0.0007333333333333333
BPSK,15,1,2,13,15000,0.0008666666666666666
BPSK,15,1,3,13,15000,0.0008666666666666666
BPSK,0,2,0,1306,15000,0.08706666666666667
BPSK,0,2,1,1252,15000,0.08346666666666666
BPSK,0,2,2,1183,15000,0.07886666666666667
BPSK,0,2,3,1211,15000,0.08073333333333334
BPSK,15,2,0,12,15000,0.0008
BPSK,15,2,1,11,15000,0.0007333333333333333
BPSK,15,2,2,13,15000,0.0008666666666666666
BPSK,15,2,3,13,15000,0.0008666666666666666
BPSK,0,3,0,1298,15000,0.08653333333333334
BPSK,0,3,1,1283,15000,0.08553333333333334
BPSK,0,3,2,1192,15000,0.07946666666666667
BPSK,0,3,3,1206,15000,0.0804
BPSK,15,3,0,12,15000,0.0008
BPSK,15,3,1,11,15000,0.0007333333333333333
BPSK,15,3,2,13,15000,0.0008666666666666666
BPSK,15,3,3,13,15000,0.0008666666666666666
BPSK,0,4,0,1288,15000,0.08586666666666666
BPSK,0,4,1,1278,15000,0.0852
BPSK,0,4,2,1198,15000,0.07986666666666667
BPSK,0,4,3,1225,15000,0.08166666666666667
BPSK,15,4,0,12,15000,0.0008
BPSK,15,4,1,11,15000,0.0007333333333333333
BPSK,15,4,2,13,15000,0.0008666666666666666
BPSK,15,4,3,13,15000,0.0008666666666666666
QPSK,0,0,0,4853,30000,0.16176666666666667
QPSK,0,0,1,4801,30000,0.16003333333333333
QPSK,0,0,2,4813,30000,0.16043333333333334
QPSK,0,0,3,4870,30000,0.16233333333333333
QPSK,15,0,0,25,30000,0.0008333333333333334
QPSK,15,0,1,21,30000,0.0007
QPSK,15,0,2,26,30000,0.0008666666666666666
QPSK,15,0,3,28,30000,0.0009333333333333333
QPSK,0,1,0,4784,30000,0.15946666666666667
QPSK,0,1,1,4820,30000,0.16066666666666668
QPSK,0,1,2,4795,30000,0.15983333333333333
QPSK,0,1,3,4905,30000,0.1635
QPSK,15,1,0,25,30000,0.0008333333333333334
QPSK,15,1,1,21,30000,0.0007
QPSK,15,1,2,26,30000,0.0008666666666666666
QPSK,15,1,3,28,30000,0.0009333333333333333
QPSK,0,2,0,4844,30000,0.16146666666666668
QPSK,0,2,1,4822,30000,0.16073333333333334
QPSK,0,2,2,4771,30000,0.15903333333333333
QPSK,0,2,3,4876,30000,0.16253333333333334
QPSK,15,2,0,26,30000,0.0008666666666666666
QPSK,15,2,1,22,30000,0.0007333333333333333
QPSK,15,2,2,27,30000,0.0009
QPSK,15,2,3,28,30000,0.0009333333333333333
QPSK,0,3,0,4842,30000,0.1614
QPSK,0,3,1,4831,30000,0.16103333333333333
QPSK,0,3,2,4798,30000,0.15993333333333334
QPSK,0,3,3,4911,30000,0.1637
QPSK,15,3,0,25,30000,0.0008333333333333334
QPSK,15,3,1,21,30000,0.0007
QPSK,15,3,2,26,30000,0.0008666666666666666
QPSK,15,3,3,28,30000,0.0009333333333333333
QPSK,0,4,0,4850,30000,0.16166666666666665
QPSK,0,4,1,4833,30000,0.1611
QPSK,0,4,2,4807,30000,0.16023333333333334
QPSK,0,4,3,4972,30000,0.16573333333333334
QPSK,15,4,0,25,30000,0.0008333333333333334
QPSK,15,4,1,21,30000,0.0007
QPSK,15,4,2,26,30000,0.0008666666666666666
QPSK,15,4,3,28,30000,0.0009333333333333333
