modulation,snr_db_in,method,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,n_trials
BPSK,-10,No Processing,0.334616,0.0014479309375795505,334616,1000000,,10
BPSK,-5,No Processing,0.221504,0.0010757713511708711,221504,1000000,,10
BPSK,0,No Processing,0.08826700000000001,0.0009910201814292187,88267,1000000,,10
BPSK,5,No Processing,0.008327,0.0001999024762227822,8327,1000000,,10
BPSK,10,No Processing,1.5000000000000002e-05,1.688194301613413e-05,15,1000000,,10
BPSK,15,No Processing,0.0,0.0,0,1000000,3e-06,10
BPSK,20,No Processing,0.0,0.0,0,1000000,3e-06,10
BPSK,-10,MMSE (Genie),0.32792600000000005,0.0009089796477369582,327926,1000000,,10
BPSK,-5,MMSE (Genie),0.21234099999999997,0.0008425372395330667,212341,1000000,,10
BPSK,0,MMSE (Genie),0.080014,0.0008311221330225798,80014,1000000,,10
BPSK,5,MMSE (Genie),0.0066500000000000005,0.0002912043955712206,6650,1000000,,10
BPSK,10,MMSE (Genie),6.000000000000001e-06,8.000000000000001e-06,6,1000000,,10
BPSK,15,MMSE (Genie),0.0,0.0,0,1000000,3e-06,10
BPSK,20,MMSE (Genie),0.0,0.0,0,1000000,3e-06,10
BPSK,-10,ZF (Genie),0.331295,0.0007323421331590889,331295,1000000,,10
BPSK,-5,ZF (Genie),0.216588,0.0008056277055811798,216588,1000000,,10
BPSK,0,ZF (Genie),0.083504,0.0006704058472298698,83504,1000000,,10
BPSK,5,ZF (Genie),0.007439000000000001,0.0003408944118051805,7439,1000000,,10
BPSK,10,ZF (Genie),1.1e-05,1.1357816691600548e-05,11,1000000,,10
BPSK,15,ZF (Genie),0.0,0.0,0,1000000,3e-06,10
BPSK,20,ZF (Genie),0.0,0.0,0,1000000,3e-06,10
QPSK,-10,No Processing,0.380578,0.0011229875333234967,761156,2000000,,10
QPSK,-5,No Processing,0.29696200000000006,0.0008341798367258775,593924,2000000,,10
QPSK,0,No Processing,0.177377,0.0011060723303654265,354754,2000000,,10
QPSK,5,No Processing,0.0632695,0.00046887338376154253,126539,2000000,,10
QPSK,10,No Processing,0.009346,0.0002673368661445704,18692,2000000,,10
QPSK,15,No Processing,0.00023300000000000005,4.422668877499195e-05,466,2000000,,10
QPSK,20,No Processing,0.0,0.0,0,2000000,1.5e-06,10
QPSK,-10,MMSE (Genie),0.3759285,0.0013374603732447614,751857,2000000,,10
QPSK,-5,MMSE (Genie),0.28869,0.0008599098789989501,577380,2000000,,10
QPSK,0,MMSE (Genie),0.169213,0.0007534792631519458,338426,2000000,,10
QPSK,5,MMSE (Genie),0.066162,0.00041736195322525745,132324,2000000,,10
QPSK,10,MMSE (Genie),0.019291,0.00026465827022785417,38582,2000000,,10
QPSK,15,MMSE (Genie),0.0041115,0.0001403397662816922,8223,2000000,,10
QPSK,20,MMSE (Genie),0.0004615,4.909429702114086e-05,923,2000000,,10
QPSK,-10,ZF (Genie),0.3786315,0.001230122046790485,757263,2000000,,10
QPSK,-5,ZF (Genie),0.294806,0.0008733865123758202,589612,2000000,,10
QPSK,0,ZF (Genie),0.17990299999999998,0.0006436466421880879,359806,2000000,,10
QPSK,5,ZF (Genie),0.07557149999999999,0.0003989614643045121,151143,2000000,,10
QPSK,10,ZF (Genie),0.022686500000000002,0.00021125872763036308,45373,2000000,,10
QPSK,15,ZF (Genie),0.0047615,0.00015064942747982827,9523,2000000,,10
QPSK,20,ZF (Genie),0.0005275,6.225953742198861e-05,1055,2000000,,10
